mo_id,criminal_id,crime_type,entry_method,escape_method,target_selection,crime_timing,weapon_used,dress_pattern,communication_method,vehicle_used,accomplice_count,victim_selection,planning_level,technology_used,repeat_pattern,special_notes
45,CRM-IND-00045,Murder,Wall breach,Bike escape,Parked vehicles,Morning (6AM-10AM),None,Formal attire,WhatsApp,Auto rickshaw,4,Street vendors,Impulsive,None,Known to repeat Murder offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Organized Crime offender. No gang affiliation.
46,CRM-IND-00046,Fraud,Front door,Bus,Isolated houses,Early morning (3AM-6AM),Cricket Bat,Helmet and visor,Hand signals,Stolen vehicle,2,Jewelry shops,Impulsive,Hacking tools,Known to repeat Fraud offenses in similar areas with consistent timing patterns.,Subject classified as Critical risk. Non-violent offender. No gang affiliation.
47,CRM-IND-00047,Fraud,Front door,Bike escape,Elderly people,Evening (6PM-9PM),Cricket Bat,Sports wear,Face to face,Motorcycle,5,IT parks,Moderately Planned,None,Known to repeat Fraud offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Organized Crime offender. No gang affiliation.
48,CRM-IND-00048,Robbery,Not applicable,Bus,IT parks,Afternoon (12PM-3PM),Hammer,Formal attire,WhatsApp,SUV,5,Parked vehicles,Moderately Planned,Lock pick set,Known to repeat Robbery offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Non-violent offender. Gang affiliated: Dark Angels.
49,CRM-IND-00049,Theft,Lock picking,Hiding in crowd,Elderly people,Evening (6PM-9PM),Sword,Casual clothes,WhatsApp,Motorcycle,4,Construction sites,Impulsive,None,Known to repeat Theft offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Violent offender. No gang affiliation.
50,CRM-IND-00050,Murder,Fire escape,Taxi,ATMs,Midnight,None,Helmet and visor,Coded language,Auto rickshaw,3,Street vendors,Highly Planned,Night vision,Known to repeat Murder offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Non-violent offender. Gang affiliated: Dhole Patti Gang.
51,CRM-IND-00051,Robbery,Key duplication,Through lanes,Banks,Afternoon (12PM-3PM),Hammer,Helmet and visor,Signal,Stolen vehicle,1,Parked vehicles,Impulsive,None,Known to repeat Robbery offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Organized Crime offender. No gang affiliation.
52,CRM-IND-00052,Assault,Roof entry,Bus,Festival crowds,Morning (6AM-10AM),None,Workman overalls,WhatsApp,Truck,5,Parked vehicles,Professional,None,Known to repeat Assault offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. White Collar offender. No gang affiliation.
53,CRM-IND-00053,Cybercrime,Key duplication,Hiding in crowd,Parked vehicles,Dusk,Knife,Helmet and visor,Signal,Van,0,ATMs,Impulsive,GPS tracker,Known to repeat Cybercrime offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Violent offender. No gang affiliation.
54,CRM-IND-00054,Robbery,Wall breach,On foot,IT parks,Late night (11PM-3AM),Sword,Black hoodie,Hand signals,Auto rickshaw,4,Festival crowds,Opportunistic,None,Known to repeat Robbery offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Non-violent offender. No gang affiliation.
55,CRM-IND-00055,Kidnapping,Not applicable,Through lanes,Elderly people,Midnight,Hammer,Face mask and cap,WhatsApp,On foot,1,Elderly people,Moderately Planned,None,Known to repeat Kidnapping offenses in similar areas with consistent timing patterns.,Subject classified as High risk. Non-violent offender. No gang affiliation.
56,CRM-IND-00056,Sexual Offense,Not applicable,Hiding in crowd,Parked vehicles,Late night (11PM-3AM),Axe,Uniform disguise,WhatsApp,SUV,3,ATMs,Moderately Planned,None,Known to repeat Sexual Offense offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Non-violent offender. No gang affiliation.
57,CRM-IND-00057,Murder,Back door,Bike escape,Parked vehicles,Midnight,Knife,Workman overalls,Hand signals,Truck,2,Street vendors,Impulsive,None,Known to repeat Murder offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. White Collar offender. No gang affiliation.
58,CRM-IND-00058,Fraud,Fire escape,Taxi,ATMs,Early morning (3AM-6AM),Sword,Workman overalls,Telegram,Tempo,6,Banks,Highly Planned,Hacking tools,Known to repeat Fraud offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Organized Crime offender. Gang affiliated: Wagh Mandali.
59,CRM-IND-00059,Sexual Offense,Front door,On foot,Elderly people,Late night (11PM-3AM),Pistol,Black hoodie,Signal,Auto rickshaw,4,Festival crowds,Highly Planned,Fake documents,Known to repeat Sexual Offense offenses in similar areas with consistent timing patterns.,Subject classified as Critical risk. Habitual Offender offender. No gang affiliation.
60,CRM-IND-00060,Kidnapping,Not applicable,Through lanes,Construction sites,Dawn,Chain,Formal attire,Hand signals,Truck,1,Women walking alone,Impulsive,Fake documents,Known to repeat Kidnapping offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Habitual Offender offender. No gang affiliation.
61,CRM-IND-00061,Cybercrime,Key duplication,Bike escape,IT parks,Morning (6AM-10AM),Knife,Workman overalls,Signal,On foot,2,Street vendors,Opportunistic,None,Known to repeat Cybercrime offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Violent offender. No gang affiliation.
62,CRM-IND-00062,Kidnapping,Key duplication,Auto rickshaw,Elderly people,Early morning (3AM-6AM),None,Helmet and visor,Signal,Tempo,2,Jewelry shops,Professional,None,Known to repeat Kidnapping offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Organized Crime offender. Gang affiliated: Snake Eyes.
63,CRM-IND-00063,Sexual Offense,Back door,Train,Isolated houses,Late night (11PM-3AM),Machete,Casual clothes,Telegram,Bicycle,3,IT parks,Professional,None,Known to repeat Sexual Offense offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Violent offender. No gang affiliation.
64,CRM-IND-00064,Theft,Lock picking,On foot,Elderly people,Midnight,Pistol,Face mask and cap,Telegram,SUV,4,Street vendors,Impulsive,None,Known to repeat Theft offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Habitual Offender offender. No gang affiliation.
65,CRM-IND-00065,Cybercrime,Door break,Taxi,Women walking alone,Dusk,None,Casual clothes,Coded language,Motorcycle,3,Women walking alone,Highly Planned,Skeleton keys,Known to repeat Cybercrime offenses in similar areas with consistent timing patterns.,Subject classified as Critical risk. White Collar offender. No gang affiliation.
66,CRM-IND-00066,Extortion,Lock picking,Bike escape,Construction sites,Late night (11PM-3AM),Hammer,Black hoodie,WhatsApp,Truck,4,IT parks,Opportunistic,None,Known to repeat Extortion offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Habitual Offender offender. No gang affiliation.
67,CRM-IND-00067,Cybercrime,Door break,Train,College students,Late night (11PM-3AM),Hammer,Helmet and visor,Telegram,Truck,4,Banks,Impulsive,Lock pick set,Known to repeat Cybercrime offenses in similar areas with consistent timing patterns.,Subject classified as High risk. Habitual Offender offender. No gang affiliation.
68,CRM-IND-00068,Murder,Front door,On foot,College students,Dawn,Cricket Bat,Uniform disguise,Hand signals,Bicycle,2,Parked vehicles,Professional,Hacking tools,Known to repeat Murder offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Habitual Offender offender. No gang affiliation.
69,CRM-IND-00069,Robbery,Lock picking,Auto rickshaw,Isolated houses,Morning (6AM-10AM),None,Sports wear,WhatsApp,Tempo,6,Street vendors,Professional,Night vision,Known to repeat Robbery offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Habitual Offender offender. No gang affiliation.
70,CRM-IND-00070,Drug Offense,Wall breach,Through lanes,Jewelry shops,Morning (6AM-10AM),Knife,Face mask and cap,Signal,SUV,2,Jewelry shops,Impulsive,Signal jammer,Known to repeat Drug Offense offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Organized Crime offender. No gang affiliation.
71,CRM-IND-00071,Drug Offense,Back door,On foot,Festival crowds,Midnight,None,Casual clothes,Coded language,Car,5,IT parks,Opportunistic,None,Known to repeat Drug Offense offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Organized Crime offender. No gang affiliation.
72,CRM-IND-00072,Murder,Wall breach,Auto rickshaw,Banks,Dawn,Sword,Casual clothes,Prepaid SIM,Auto rickshaw,0,Street vendors,Impulsive,Skeleton keys,Known to repeat Murder offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Non-violent offender. No gang affiliation.
73,CRM-IND-00073,Cybercrime,Window break,Through lanes,Street vendors,Late night (11PM-3AM),Iron Rod,Formal attire,Prepaid SIM,SUV,4,Construction sites,Opportunistic,Night vision,Known to repeat Cybercrime offenses in similar areas with consistent timing patterns.,Subject classified as High risk. White Collar offender. No gang affiliation.
74,CRM-IND-00074,Robbery,Not applicable,Train,Street vendors,Evening (6PM-9PM),Axe,Casual clothes,Coded language,Van,0,Banks,Opportunistic,Skeleton keys,Known to repeat Robbery offenses in similar areas with consistent timing patterns.,Subject classified as High risk. Violent offender. No gang affiliation.
75,CRM-IND-00075,Theft,Key duplication,Auto rickshaw,College students,Evening (6PM-9PM),None,Formal attire,Hand signals,Bicycle,3,Offices after hours,Impulsive,Skeleton keys,Known to repeat Theft offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Violent offender. No gang affiliation.
76,CRM-IND-00076,Extortion,Wall breach,Taxi,Street vendors,Late night (11PM-3AM),Sword,Sports wear,Signal,Auto rickshaw,3,Festival crowds,Opportunistic,Lock pick set,Known to repeat Extortion offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Organized Crime offender. No gang affiliation.
77,CRM-IND-00077,Theft,Key duplication,Through lanes,Festival crowds,Dawn,Pistol,Face mask and cap,Face to face,Van,4,ATMs,Impulsive,GPS tracker,Known to repeat Theft offenses in similar areas with consistent timing patterns.,Subject classified as Critical risk. White Collar offender. Gang affiliated: Dark Angels.
78,CRM-IND-00078,Sexual Offense,Lock picking,Bike escape,ATMs,Midnight,None,Workman overalls,Signal,Stolen vehicle,3,Women walking alone,Impulsive,None,Known to repeat Sexual Offense offenses in similar areas with consistent timing patterns.,Subject classified as High risk. White Collar offender. No gang affiliation.
79,CRM-IND-00079,Sexual Offense,Door break,Bus,Offices after hours,Morning (6AM-10AM),Machete,Black hoodie,Telegram,Bicycle,0,Jewelry shops,Impulsive,None,Known to repeat Sexual Offense offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Habitual Offender offender. No gang affiliation.
80,CRM-IND-00080,Theft,Wall breach,On foot,ATMs,Afternoon (12PM-3PM),Knife,Sports wear,Signal,Car,1,Isolated houses,Moderately Planned,Lock pick set,Known to repeat Theft offenses in similar areas with consistent timing patterns.,Subject classified as High risk. Habitual Offender offender. No gang affiliation.
81,CRM-IND-00081,Murder,Front door,Hiding in crowd,Offices after hours,Dawn,Pistol,Uniform disguise,Signal,Stolen vehicle,0,Women walking alone,Professional,GPS tracker,Known to repeat Murder offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Non-violent offender. No gang affiliation.
82,CRM-IND-00082,Kidnapping,Window break,Auto rickshaw,Isolated houses,Afternoon (12PM-3PM),Cricket Bat,Formal attire,Coded language,Stolen vehicle,3,College students,Impulsive,GPS tracker,Known to repeat Kidnapping offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Organized Crime offender. No gang affiliation.
83,CRM-IND-00083,Cybercrime,Fire escape,Hiding in crowd,Offices after hours,Late night (11PM-3AM),None,Face mask and cap,WhatsApp,Van,4,Isolated houses,Professional,Signal jammer,Known to repeat Cybercrime offenses in similar areas with consistent timing patterns.,Subject classified as Critical risk. Habitual Offender offender. No gang affiliation.
84,CRM-IND-00084,Drug Offense,Lock picking,Hiding in crowd,Offices after hours,Dawn,Axe,Dark clothing,Face to face,SUV,1,ATMs,Impulsive,Night vision,Known to repeat Drug Offense offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Organized Crime offender. No gang affiliation.
85,CRM-IND-00085,Drug Offense,Not applicable,On foot,Banks,Late night (11PM-3AM),Axe,Face mask and cap,Face to face,Stolen vehicle,2,Construction sites,Impulsive,None,Known to repeat Drug Offense offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Non-violent offender. No gang affiliation.
86,CRM-IND-00086,Robbery,Roof entry,Train,Elderly people,Afternoon (12PM-3PM),Machete,Casual clothes,Telegram,Auto rickshaw,4,IT parks,Highly Planned,Hacking tools,Known to repeat Robbery offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Habitual Offender offender. No gang affiliation.
87,CRM-IND-00087,Cybercrime,Wall breach,Bike escape,Banks,Evening (6PM-9PM),Sword,Black hoodie,Face to face,Motorcycle,5,Offices after hours,Impulsive,GPS tracker,Known to repeat Cybercrime offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Organized Crime offender. No gang affiliation.
88,CRM-IND-00088,Kidnapping,Roof entry,Train,College students,Early morning (3AM-6AM),Machete,Uniform disguise,Coded language,Motorcycle,6,Offices after hours,Highly Planned,Fake documents,Known to repeat Kidnapping offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Habitual Offender offender. No gang affiliation.
89,CRM-IND-00089,Theft,Not applicable,Hiding in crowd,Banks,Early morning (3AM-6AM),None,Casual clothes,Prepaid SIM,Auto rickshaw,6,Isolated houses,Opportunistic,None,Known to repeat Theft offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Violent offender. Gang affiliated: Ghost Riders.
90,CRM-IND-00090,Sexual Offense,Fire escape,Car escape,Banks,Morning (6AM-10AM),None,Black hoodie,Telegram,Van,0,ATMs,Professional,None,Known to repeat Sexual Offense offenses in similar areas with consistent timing patterns.,Subject classified as Critical risk. Violent offender. No gang affiliation.
91,CRM-IND-00091,Cybercrime,Wall breach,Hiding in crowd,Street vendors,Early morning (3AM-6AM),Sword,Formal attire,Coded language,Auto rickshaw,3,Elderly people,Professional,Night vision,Known to repeat Cybercrime offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. White Collar offender. No gang affiliation.
92,CRM-IND-00092,Theft,Fire escape,On foot,Festival crowds,Dawn,Sword,Formal attire,Telegram,SUV,4,Street vendors,Moderately Planned,Skeleton keys,Known to repeat Theft offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Habitual Offender offender. No gang affiliation.
93,CRM-IND-00093,Extortion,Front door,Car escape,College students,Morning (6AM-10AM),Iron Rod,Workman overalls,Coded language,Motorcycle,6,Isolated houses,Moderately Planned,Signal jammer,Known to repeat Extortion offenses in similar areas with consistent timing patterns.,Subject classified as High risk. White Collar offender. No gang affiliation.
94,CRM-IND-00094,Cybercrime,Key duplication,Through lanes,Jewelry shops,Early morning (3AM-6AM),Sword,Formal attire,Signal,Car,4,Construction sites,Highly Planned,None,Known to repeat Cybercrime offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. White Collar offender. Gang affiliated: Tiger Gang.
